STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
28,01779790,0400000US28,28,MS,Mississippi,00,121533519481.000000000000000,3926919758.000000000000000
37,01027616,0400000US37,37,NC,North Carolina,00,125923656064.000000000000000,13466071395.000000000000000
40,01102857,0400000US40,40,OK,Oklahoma,00,177662925723.000000000000000,3374587997.000000000000000
51,01779803,0400000US51,51,VA,Virginia,00,102257717110.000000000000000,8528531774.000000000000000
54,01779805,0400000US54,54,WV,West Virginia,00,62266474513.000000000000000,489028543.000000000000000
22,01629543,0400000US22,22,LA,Louisiana,00,111897594374.000000000000000,23753621895.000000000000000
26,01779789,0400000US26,26,MI,Michigan,00,146600952990.000000000000000,103885855702.000000000000000
25,00606926,0400000US25,25,MA,Massachusetts,00,20205125364.000000000000000,7129925486.000000000000000
16,01779783,0400000US16,16,ID,Idaho,00,214049787659.000000000000000,2391722557.000000000000000
12,00294478,0400000US12,12,FL,Florida,00,138949136250.000000000000000,31361101223.000000000000000
31,01779792,0400000US31,31,NE,Nebraska,00,198956658395.000000000000000,1371829134.000000000000000
53,01779804,0400000US53,53,WA,Washington,00,172112588220.000000000000000,12559278850.000000000000000
35,00897535,0400000US35,35,NM,New Mexico,00,314196306401.000000000000000,728776523.000000000000000
72,01779808,0400000US72,72,PR,Puerto Rico,00,8868896030.000000000000000,4922382562.000000000000000
46,01785534,0400000US46,46,SD,South Dakota,00,196346981786.000000000000000,3382720225.000000000000000
48,01779801,0400000US48,48,TX,Texas,00,676653171537.000000000000000,19006305260.000000000000000
06,01779778,0400000US06,06,CA,California,00,403503931312.000000000000000,20463871877.000000000000000
01,01779775,0400000US01,01,AL,Alabama,00,131174048583.000000000000000,4593327154.000000000000000
13,01705317,0400000US13,13,GA,Georgia,00,149482048342.000000000000000,4422936154.000000000000000
42,01779798,0400000US42,42,PA,Pennsylvania,00,115884442321.000000000000000,3394589990.000000000000000
29,01779791,0400000US29,29,MO,Missouri,00,178050802184.000000000000000,2489425460.000000000000000
08,01779779,0400000US08,08,CO,Colorado,00,268422891711.000000000000000,1181621593.000000000000000
49,01455989,0400000US49,49,UT,Utah,00,212886221680.000000000000000,6998824394.000000000000000
47,01325873,0400000US47,47,TN,Tennessee,00,106802728188.000000000000000,2350123465.000000000000000
56,01779807,0400000US56,56,WY,Wyoming,00,251458544898.000000000000000,1867670745.000000000000000
36,01779796,0400000US36,36,NY,New York,00,122049149763.000000000000000,19246994695.000000000000000
20,00481813,0400000US20,20,KS,Kansas,00,211755344060.000000000000000,1344141205.000000000000000
02,01785533,0400000US02,02,AK,Alaska,00,1478839695958.000000000000000,245481577452.000000000000000
32,01779793,0400000US32,32,NV,Nevada,00,284329506470.000000000000000,2047206072.000000000000000
17,01779784,0400000US17,17,IL,Illinois,00,143780567633.000000000000000,6214824948.000000000000000
50,01779802,0400000US50,50,VT,Vermont,00,23874175944.000000000000000,1030416650.000000000000000
30,00767982,0400000US30,30,MT,Montana,00,376962738765.000000000000000,3869208832.000000000000000
19,01779785,0400000US19,19,IA,Iowa,00,144661267977.000000000000000,1084180812.000000000000000
45,01779799,0400000US45,45,SC,South Carolina,00,77864918488.000000000000000,5075218778.000000000000000
33,01779794,0400000US33,33,NH,New Hampshire,00,23189413166.000000000000000,1026675248.000000000000000
04,01779777,0400000US04,04,AZ,Arizona,00,294198551143.000000000000000,1027337603.000000000000000
11,01702382,0400000US11,11,DC,District of Columbia,00,158340391.000000000000000,18687198.000000000000000
60,01802701,0400000US60,60,AS,American Samoa,00,197759063.000000000000000,1307243754.000000000000000
78,01802710,0400000US78,78,VI,United States Virgin Islands,00,348021896.000000000000000,1550236201.000000000000000
34,01779795,0400000US34,34,NJ,New Jersey,00,19047825980.000000000000000,3544860246.000000000000000
24,01714934,0400000US24,24,MD,Maryland,00,25151100280.000000000000000,6979966958.000000000000000
23,01779787,0400000US23,23,ME,Maine,00,79887426037.000000000000000,11746549764.000000000000000
15,01779782,0400000US15,15,HI,Hawaii,00,16633990195.000000000000000,11777809026.000000000000000
10,01779781,0400000US10,10,DE,Delaware,00,5045925646.000000000000000,1399985648.000000000000000
66,01802705,0400000US66,66,GU,Guam,00,543555840.000000000000000,934337453.000000000000000
69,01779809,0400000US69,69,MP,Commonwealth of the Northern Mariana Islands,00,472292529.000000000000000,4644252461.000000000000000
44,01219835,0400000US44,44,RI,Rhode Island,00,2677779902.000000000000000,1323670487.000000000000000
21,01779786,0400000US21,21,KY,Kentucky,00,102279490672.000000000000000,2375337755.000000000000000
39,01085497,0400000US39,39,OH,Ohio,00,105828882568.000000000000000,10268850702.000000000000000
55,01779806,0400000US55,55,WI,Wisconsin,00,140290039723.000000000000000,29344951758.000000000000000
41,01155107,0400000US41,41,OR,Oregon,00,248606993270.000000000000000,6192386935.000000000000000
38,01779797,0400000US38,38,ND,North Dakota,00,178707534813.000000000000000,4403267548.000000000000000
05,00068085,0400000US05,05,AR,Arkansas,00,134768872727.000000000000000,2962859592.000000000000000
18,00448508,0400000US18,18,IN,Indiana,00,92789302676.000000000000000,1538002829.000000000000000
27,00662849,0400000US27,27,MN,Minnesota,00,206228939448.000000000000000,18945217189.000000000000000
09,01779780,0400000US09,09,CT,Connecticut,00,12542497068.000000000000000,1815617571.000000000000000
